0,1,2,3,4,5,6,7
275,195,542,224,536,287,268,258
269,266,535,286,532,335,265,315
265,315,540,334,538,361,264,342
262,356,360,362,359,377,261,371
398,366,502,374,501,389,397,380
261,369,339,377,338,392,260,384
397,381,500,387,499,402,396,396
